Y-Tunnus;Nimi;Luvan alkupvm;Olut;Viini;Hedelmäviini;Tislatut alkoholijuomat;Väkiviina;Käsityöläisoluen vähittäismyyntilupa;Tilaviinin vähittäismyyntilupa
2759888-2;Rataspanimo Oy;21.12.2016;X;;;;;;
2760123-6;Linden Brewery Oy;07.09.2016;X;;;;;X;
2769923-7;8-Bit Brewing Oy;19.12.2017;X;;;;;;
2778535-4;Oma Panimo Oy;17.07.2017;X;;;;;X;
2781081-2;RPS Brewing Oy;21.04.2017;X;;;;;;
2784227-5;Etko Brewing OY;05.09.2017;X;;;;;;
2798333-4;Moose On The Loose Brewing Company;05.05.2017;X;;;;;X;
2799079-6;Panimo Kiiski Oy;20.07.2017;X;;;;;X;
2799761-3;Nilkko Oy;27.06.2017;X;;;;;X;
2803840-6;Kvarken Bryggeri Ab;17.07.2017;X;;;;;X;
2820287-8;3Spirit Oy;24.08.2017;;;X;;;;
2823768-3;Oy Bornemanns Ab;14.08.2017;X;;X;;;;
2826022-6;Kakola Brewing Company Oy;16.03.2018;X;;;;;X;
2834483-3;NBC Brewery Oy Ab;08.05.2018;X;;X;;;;
2838913-4;Finnish Distillery Company Oy;04.09.2017;;;;X;;;
2842053-3;Mallassepät Oy;22.12.2017;X;;;;;;
2843652-7;Kymen Kauppakartano Oy;11.01.2018;X;;;;;;
2851040-8;Skärgårdscider Oy;11.10.2017;;;X;X;;;
2853633-3;Narvan Kyläpanimo Oy;08.02.2018;X;;;;;X;
2858437-8;Pirula Oy;16.02.2018;;;X;X;;;X
2863208-5;Kotka Steam Brewery Oy;27.04.2018;X;;;;;X;
